protocol , paper_scenario, rate_msg_s, rate_msg_s_mean, rate_msg_s_std, lat_mean_mean      , lat_mean_std        , lat_median_mean, lat_median_std      , lat_std_mean         , lat_std_std          , lat_p5_mean        , lat_p5_std           , lat_p25_mean, lat_p25_std          , lat_p75_mean, lat_p75_std          , lat_p95_mean       , lat_p95_std          , lat_p99_mean       , lat_p99_std          , lat_ci95_low_mean  , lat_ci95_low_std    , lat_ci95_high_mean, lat_ci95_high_std   , jitter_ms_mean       , jitter_ms_std        , packet_loss_frac_mean , packet_loss_frac_std , overhead_pct_mean_mean, overhead_pct_mean_std, overhead_pct_std_mean, overhead_pct_std_std, header_bytes_mean_mean, header_bytes_mean_std, payload_bytes_mean_mean, payload_bytes_mean_std, tput_msg_per_s_mean, tput_msg_per_s_std   , tput_kbps_mean      , tput_kbps_std        , duration_s_observed_mean, duration_s_observed_std, cin_mean_mean     , cin_mean_std      , cin_median_mean, cin_median_std   , cin_std_mean      , cin_std_std       , cin_p5_mean       , cin_p5_std       , cin_p25_mean, cin_p25_std      , cin_p75_mean, cin_p75_std      , cin_p95_mean      , cin_p95_std       , cin_p99_mean      , cin_p99_std       , cin_ci95_low_mean , cin_ci95_low_std  , cin_ci95_high_mean, cin_ci95_high_std , cin_n_mean, cin_n_std, cin_jitter_ms_mean, cin_jitter_ms_std
coap     ,              1,        4.0,             4.0,            0.0, 2602.4233395105125 ,   21.099544410122018, 2599.3         ,   19.36807223815099 ,    25.357807897540813,   52.48306179629143  , 2591.55            ,    19.228176662850046, 2595.625    ,    19.316533649240327, 2604.6      ,    19.828150583338754, 2616.4700000000003 ,    22.391084535293654, 2635.945           ,    19.945697531046292, 2599.1923399632633 ,   18.851949718341796, 2605.6543390577617,   24.980115497233204,    25.357807897540813,   52.48306179629143  , 0.014502246150680709  , 0.01538066047429696  ,    35.602828662606335 ,  0.3702573266984847  ,  0.202109088408218   , 0.12588918711719793 ,                  360.0,                   0.0,       651.2975490115907,     10.500520247011707,  3.955266061322041 , 0.06125437086108632  , 2.5155757189376433  , 0.05096311868594253  ,       60.0726           ,    0.08066418728971987 ,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
coap     ,              2,       16.0,            16.0,            0.0, 28011.19074190761  , 9027.128405589345   , 27734.0        , 8301.606628304615   ,  6006.074589482874   , 3247.724433616254    , 19581.885000000002 , 10515.01406009125    , 22516.5     , 10448.809014401808   , 32493.025   , 10779.308315942117   , 37492.409999999996 , 10717.367035299916   , 38934.876000000004 , 10858.129967143617   , 26762.15814383915  , 8754.916048408326   , 29260.223339976055, 9333.779339930932   ,  6006.074589482874   , 3247.724433616254    , 0.6985709055461096    , 0.11876778292987662  ,    35.128522307553695 ,  0.24776701029843462 ,  0.08588344972092957 , 0.09247652829094975 ,                  360.0,                   0.0,       664.8660145221688,      7.174077173084068,  6.487860202853372 , 3.1997292197424367   , 4.209741175021564   , 2.0821487534349594   ,       20.273400000000002,   15.138749399398145   ,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
coap     ,              3,           ,                ,               , -2529.3070338983052,   27.118922261811136, -2530.0        ,   27.289599158328084,     8.349928552553274,    1.2899491766714446, -2540.755          ,    26.313182691064803, -2535.2     ,    26.915712057375927, -2524.325   ,    27.557276211959277, -2515.52           ,    27.754691295146905, -2508.126          ,    29.01777853508275 , -2531.466089714643 ,   26.986236378814805, -2527.147978081967,   27.25506489514514 ,     8.349928552553274,    1.2899491766714446, 0.0016666666666666666 , 0.005270462766947298 ,    85.54122836783166  ,  0.0                 ,  0.0733121280876029  , 0.0                 ,                  360.0,                   0.0,        60.85           ,      0.0              ,  0.8683846851828617, 0.05520009112244496  , 0.05160256567446292 , 0.0032807590843008045,                         ,                        ,  80.43666666666667, 1.3679713736085077,           78.0 , 0.0              ,  8.19705155940867 , 1.1660536313348626,  68.92            , 7.656522274070214,         78.0, 0.0              ,       81.525, 6.062693295887565,  94.0             ,  0.0              , 100.31599999999997,  6.566692385736426,  78.31914371108905, 1.2937360516035572,  82.55418962224428, 1.5001365584827884,       60.0,       0.0,  8.19705155940867 , 1.1660536313348626
http     ,              1,        4.0,             4.0,            0.0, 2534.656224774994  ,   74.64619520377555 , 2503.3         ,   18.720458209017107,   150.10995032761346 ,  392.378395695954    , 2493.305           ,    19.03468252661172 , 2498.35     ,    19.151515750863027, 2510.575    ,    19.249116141325057, 2542.98            ,    27.84917912215325 , 3236.4929999999995 ,  2013.5976259093522  , 2515.5668628063254 ,   28.1662415578213  , 2553.7455867436624,  123.81282716598486 ,   150.10995032761346 ,  392.378395695954    , 0.012757201646090543  , 0.014049478879637176 ,    47.559753759747004 ,  0.38578249851835317 ,  0.16750654094625372 , 0.10935906308845565 ,                  596.0,                   0.0,       657.2555078150247,     10.108337923473961,  3.9953742204058598, 0.05664983633589518  , 2.564331785676218   , 0.04794254110018815  ,       60.044399999999996,    0.021711236210262583,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
http     ,              2,       16.0,            16.0,            0.0, 27253.000984204344 ,  611.238032766209   , 27210.65       ,  804.9267754826451  , 13227.633953592329   ,  275.9668279200591   , 6897.75            ,   273.63867903983663 , 15842.15    ,   852.0230190552364  , 38513.775   ,   984.8136981880834  , 48090.634999999995 ,   749.7304997464079  , 49864.047          ,   634.3343046419251  , 25540.059109344107 ,  575.4171189824332  , 28965.94285906459 ,  650.4541299996401  , 13227.633953592329   ,  275.9668279200591   , 0.003479010925819437  , 0.007559198985656659 ,    47.79538875192762  ,  0.48907694482555486 ,  0.17795320233008294 , 0.1646345296017736  ,                  596.0,                   0.0,       651.1294103088726,     12.7227727703648  ,  3.8664607057217153, 0.15418959250510125  , 2.459454508875257   , 0.129641205775638    ,       59.956399999999995,    0.2647292956965701  ,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
http     ,              3,           ,                ,               , -2381.0641242937854,   38.76044800080146 , -2382.6        ,   38.8242478642178  ,    18.419777229526478,   11.809735650445043 , -2399.755          ,    38.46208414356493 , -2389.225   ,    38.82715437250929 , -2375.6     ,    39.18141566270088 , -2363.745          ,    38.91736580385569 , -2318.8740000000003,    67.67497390714912 , -2385.829200958604 ,   38.77990006271011 , -2376.299047628967,   38.98015532237271 ,    18.419777229526478,   11.809735650445043 , 0.003333333333333333  , 0.0070272836892630655,    90.73611575156843  ,  0.0                 ,  0.04979454433748753 , 0.0                 ,                  596.0,                   0.0,        60.85           ,      0.0              ,  0.8226476856743663, 0.07070389879228556  , 0.0488856683886836  , 0.004199780609154721 ,                         ,                        , 105.90166666666667, 3.9283038308733538,          108.25, 2.371708245126284, 17.367709609202123, 9.247600709747179 ,  88.35499999999999, 7.151474206996297,         94.0, 0.0              ,      111.7  , 4.85025772511111 , 125.31499999999998,  7.268579641167858, 162.9329999999999 , 56.70260234082927 , 101.41511152952363, 1.967575271919874 , 110.38822180380971, 6.197221790079262 ,       60.0,       0.0, 17.367709609202123, 9.247600709747179
mqtt     ,              1,        4.0,             4.0,            0.0, 2230.4851851851854 ,   12.780468840646   , 2228.0         ,   12.866839377079172,    15.693387431150267,    2.9576221268855485, 2214.37            ,    12.636547524277773, 2222.7      ,    12.693392857003412, 2234.9      ,    12.80798362133736 , 2250.96            ,    13.109555463265815, 2294.5539999999996 ,    33.88621358474733 , 2228.502110687433  ,   12.768129848366144, 2232.468259682938 ,   12.803709816121142,    15.693387431150267,    2.9576221268855485, 0.0                   , 0.0                  ,     5.735896383768756 ,  0.11898069399097097 ,  0.024759959943585555, 0.03737753739047913 ,                   40.0,                   0.0,       657.6691358024691,     14.308726625657293,  4.046257416972431 , 0.0009597322991188619, 2.5987294810910786  , 0.05656371606259085  ,       60.055499999999995,    0.014245857097573115,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
mqtt     ,              2,       16.0,            16.0,            0.0, 37397.87765362965  , 6621.834072062633   , 37349.85       , 6967.575734348991   , 12454.496001390598   ,  332.9903076113582   , 18253.085          ,  6588.006850374652   , 26583.425   ,  6811.478790992371   , 47961.0     ,  6665.219282464256   , 56769.55           ,  5969.7645393264875  , 58751.967000000004 ,  6184.94657105828    , 35922.75704007942  , 6666.745699401244   , 38872.99826717989 , 6578.19128758799    , 12454.496001390598   ,  332.9903076113582   , 0.00040160642570281625, 0.0012699910281800879,     5.709474531497487 ,  0.0846348873857716  ,  0.027727862892003297, 0.027011890624906772,                   40.0,                   0.0,       660.7559849312873,     10.209126518624393,  4.625508092486642 , 0.3567769187068575   , 2.9859417490827482  , 0.24910195457844098  ,       60.1004           ,    0.2878704183791339  ,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
mqtt     ,              3,           ,                ,               , -2161.18           ,   30.91051780723084 , -2163.05       ,   31.361202145325954,     8.492087135465804,    3.4640823399999823, -2170.83           ,    31.415735618387956, -2166.325   ,    31.662291364404783, -2157.825   ,    31.091051320632843, -2146.495          ,    28.795827726329517, -2135.588          ,    30.20353172873782 , -2163.3737387266365,   31.175880087661266, -2158.986261273363,   30.66897941177645 ,     8.492087135465804,    3.4640823399999823, 0.0                   , 0.0                  ,    39.059090909090905 ,  0.0                 ,  0.14185156258404685 , 0.0                 ,                   39.0,                   0.0,        60.85           ,      0.0              ,  0.8752746826964628, 0.00414415073273143  , 0.05201217230671853 , 0.0002462613008659245,                         ,                        , 102.60833333333332, 5.131278147995749 ,           98.5 , 7.245688373094721, 16.67043853477127 , 9.52305880733466  ,  81.115           , 6.081257636742952,         94.0, 0.0              ,      109.325, 0.472140515807183, 134.48            , 30.515453280082337, 151.48699999999997, 49.432000442808054,  98.30190241471773, 3.0219458276048714, 106.91476425194894, 7.458668318131894 ,       60.0,       0.0, 16.67043853477127 , 9.52305880733466
websocket,              1,        4.0,             4.0,            0.0, 1838.1389923516713 ,   72.49447957559381 , 1833.7         ,   68.93644415933663 ,    25.47857004289432 ,   31.615401314284302 , 1822.8             ,    68.81343538066453 , 1828.2      ,    68.79890180002069 , 1839.5      ,    69.73003497616934 , 1859.0049999999999 ,    77.28930301866548 , 1949.014           ,   208.06440505018816 , 1834.9176341829807 ,   70.23546259334584 , 1841.3603505203614,   74.89849009236087 ,    25.47857004289432 ,   31.615401314284302 , 0.0                   , 0.0                  ,     1.204896452547636 ,  0.01390114019574305 ,  0.010440130702830579, 0.004319690256719554,                    8.0,                   0.0,       656.0941106088619,      7.659858955954686,  4.036046314351605 , 0.01371671191741697  , 2.58588908099295    , 0.0237423131436226   ,       60.034000000000006,    0.011323525167642692,                   ,                   ,                ,                  ,                   ,                   ,                   ,                  ,             ,                  ,             ,                  ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,           ,          ,                   ,  
