timestamp_ms,run_id,protocol,scenario,direction,latency_ms,payload_bytes,header_bytes,delivered,seq,t_send_ms,t_cmd_ms,t_recv_ms,t_exec_ms,cin_create_ms
1780670719141,websocket_s3_20260605_run008,websocket,2,command,-1908.0,60,6,True,1,,1780670718974,1780670717066,1780670717066,156.0
1780670720350,websocket_s3_20260605_run008,websocket,2,command,-1897.0,60,6,True,2,,1780670720209,1780670718312,1780670718312,141.0
1780670721591,websocket_s3_20260605_run008,websocket,2,command,-1905.0,60,6,True,3,,1780670721444,1780670719539,1780670719539,140.0
1780670722792,websocket_s3_20260605_run008,websocket,2,command,-1912.0,60,6,True,4,,1780670722671,1780670720759,1780670720759,125.0
1780670724039,websocket_s3_20260605_run008,websocket,2,command,,60,6,False,5,,1780670723895,,,140.0
1780670740183,websocket_s3_20260605_run008,websocket,2,command,-1917.0,60,6,True,6,,1780670740054,1780670738137,1780670738137,125.0
1780670741394,websocket_s3_20260605_run008,websocket,2,command,-1918.0,60,6,True,7,,1780670741268,1780670739350,1780670739350,125.0
1780670742619,websocket_s3_20260605_run008,websocket,2,command,-1823.0,60,6,True,8,,1780670742481,1780670740658,1780670740658,140.0
1780670743916,websocket_s3_20260605_run008,websocket,2,command,-1909.0,60,6,True,9,,1780670743772,1780670741863,1780670741863,140.0
1780670745152,websocket_s3_20260605_run008,websocket,2,command,-1907.0,61,6,True,10,,1780670745006,1780670743099,1780670743099,141.0
1780670746375,websocket_s3_20260605_run008,websocket,2,command,-1906.0,61,6,True,11,,1780670746237,1780670744331,1780670744331,140.0
1780670747596,websocket_s3_20260605_run008,websocket,2,command,-1909.0,61,6,True,12,,1780670747458,1780670745549,1780670745549,125.0
1780670748830,websocket_s3_20260605_run008,websocket,2,command,-1915.0,61,6,True,13,,1780670748684,1780670746769,1780670746769,141.0
1780670750120,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,14,,1780670749947,,,171.0
1780670766263,websocket_s3_20260605_run008,websocket,2,command,-1907.0,61,6,True,15,,1780670766129,1780670764222,1780670764222,125.0
1780670767489,websocket_s3_20260605_run008,websocket,2,command,-1913.0,61,6,True,16,,1780670767348,1780670765435,1780670765435,140.0
1780670768709,websocket_s3_20260605_run008,websocket,2,command,-1909.0,61,6,True,17,,1780670768574,1780670766665,1780670766665,140.0
1780670769941,websocket_s3_20260605_run008,websocket,2,command,-1918.0,61,6,True,18,,1780670769796,1780670767878,1780670767878,141.0
1780670771173,websocket_s3_20260605_run008,websocket,2,command,-1903.0,61,6,True,19,,1780670771012,1780670769109,1780670769109,156.0
1780670772411,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,20,,1780670772252,,,172.0
1780670788560,websocket_s3_20260605_run008,websocket,2,command,-1914.0,61,6,True,21,,1780670788413,1780670786499,1780670786499,141.0
1780670789785,websocket_s3_20260605_run008,websocket,2,command,-1907.0,61,6,True,22,,1780670789632,1780670787725,1780670787725,141.0
1780670791003,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,23,,1780670790857,,,140.0
1780670807154,websocket_s3_20260605_run008,websocket,2,command,-1917.0,61,6,True,24,,1780670807014,1780670805097,1780670805097,141.0
1780670808365,websocket_s3_20260605_run008,websocket,2,command,-1910.0,61,6,True,25,,1780670808237,1780670806327,1780670806327,140.0
1780670809628,websocket_s3_20260605_run008,websocket,2,command,-1897.0,61,6,True,26,,1780670809455,1780670807558,1780670807558,171.0
1780670810845,websocket_s3_20260605_run008,websocket,2,command,-1905.0,61,6,True,27,,1780670810705,1780670808800,1780670808800,140.0
1780670812067,websocket_s3_20260605_run008,websocket,2,command,-1924.0,61,6,True,28,,1780670811943,1780670810019,1780670810019,125.0
1780670813317,websocket_s3_20260605_run008,websocket,2,command,-1906.0,61,6,True,29,,1780670813164,1780670811258,1780670811258,157.0
1780670814565,websocket_s3_20260605_run008,websocket,2,command,-1919.0,61,6,True,30,,1780670814402,1780670812483,1780670812483,156.0
1780670815786,websocket_s3_20260605_run008,websocket,2,command,-1915.0,61,6,True,31,,1780670815648,1780670813733,1780670813733,140.0
1780670817010,websocket_s3_20260605_run008,websocket,2,command,-1911.0,61,6,True,32,,1780670816867,1780670814956,1780670814956,141.0
1780670818262,websocket_s3_20260605_run008,websocket,2,command,-1888.0,61,6,True,33,,1780670818101,1780670816213,1780670816213,156.0
1780670819506,websocket_s3_20260605_run008,websocket,2,command,-1909.0,61,6,True,34,,1780670819347,1780670817438,1780670817438,172.0
1780670820725,websocket_s3_20260605_run008,websocket,2,command,-1914.0,61,6,True,35,,1780670820579,1780670818665,1780670818665,156.0
1780670821954,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,36,,1780670821803,,,141.0
1780670838095,websocket_s3_20260605_run008,websocket,2,command,-1918.0,61,6,True,37,,1780670837970,1780670836052,1780670836052,125.0
1780670839319,websocket_s3_20260605_run008,websocket,2,command,-1872.0,61,6,True,38,,1780670839186,1780670837314,1780670837314,141.0
1780670840592,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,39,,1780670840439,,,156.0
1780670856758,websocket_s3_20260605_run008,websocket,2,command,-1915.0,61,6,True,40,,1780670856605,1780670854690,1780670854690,156.0
1780670857971,websocket_s3_20260605_run008,websocket,2,command,-1911.0,61,6,True,41,,1780670857838,1780670855927,1780670855927,125.0
1780670859212,websocket_s3_20260605_run008,websocket,2,command,-1905.0,61,6,True,42,,1780670859059,1780670857154,1780670857154,156.0
1780670860453,websocket_s3_20260605_run008,websocket,2,command,-1914.0,61,6,True,43,,1780670860306,1780670858392,1780670858392,141.0
1780670861675,websocket_s3_20260605_run008,websocket,2,command,-1921.0,61,6,True,44,,1780670861534,1780670859613,1780670859613,140.0
1780670862921,websocket_s3_20260605_run008,websocket,2,command,-1915.0,61,6,True,45,,1780670862781,1780670860866,1780670860866,140.0
1780670864138,websocket_s3_20260605_run008,websocket,2,command,-1911.0,61,6,True,46,,1780670863998,1780670862087,1780670862087,141.0
1780670865394,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,47,,1780670865236,,,156.0
1780670881541,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,48,,1780670881399,,,140.0
1780670897693,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,49,,1780670897555,,,141.0
1780670913842,websocket_s3_20260605_run008,websocket,2,command,-1922.0,61,6,True,50,,1780670913704,1780670911782,1780670911782,140.0
1780670915072,websocket_s3_20260605_run008,websocket,2,command,-1919.0,61,6,True,51,,1780670914937,1780670913018,1780670913018,141.0
1780670916320,websocket_s3_20260605_run008,websocket,2,command,-1917.0,61,6,True,52,,1780670916171,1780670914254,1780670914254,157.0
1780670917539,websocket_s3_20260605_run008,websocket,2,command,-1919.0,61,6,True,53,,1780670917402,1780670915483,1780670915483,140.0
1780670918765,websocket_s3_20260605_run008,websocket,2,command,-1923.0,61,6,True,54,,1780670918626,1780670916703,1780670916703,141.0
1780670920043,websocket_s3_20260605_run008,websocket,2,command,-1877.0,61,6,True,55,,1780670919858,1780670917981,1780670917981,187.0
1780670921272,websocket_s3_20260605_run008,websocket,2,command,,61,6,False,56,,1780670921142,,,141.0
1780670937426,websocket_s3_20260605_run008,websocket,2,command,-1930.0,61,6,True,57,,1780670937289,1780670935359,1780670935359,125.0
1780670938680,websocket_s3_20260605_run008,websocket,2,command,-1910.0,61,6,True,58,,1780670938521,1780670936611,1780670936611,156.0
1780670939914,websocket_s3_20260605_run008,websocket,2,command,-1925.0,61,6,True,59,,1780670939790,1780670937865,1780670937865,125.0
1780670941137,websocket_s3_20260605_run008,websocket,2,command,-1930.0,61,6,True,60,,1780670941014,1780670939084,1780670939084,125.0
